Table,Model,Description,MSE,MAE,Sparsity,Turnover,DM_vs_M1,DM_pval,DM_log10p,FitTime_s,Step,Component,MSE_before,MSE_after,О”MSE,RelImprove%,DM_pairwise
Panel A: Individual Metrics,,,,,,,,,,,,,,,,,
,M2,Sparse VAR,2.2897753715766565e-05,0.00356807699475456,0.989696133555463,0.2403205669644286,-40.01477052196851,0.0,-349.39277422533627,4.7,,,,,,,
,M3,Sparse VARX,2.25435146816885e-05,0.0035415450783235626,0.971919400671661,0.28256101377246806,-40.27552470635621,0.0,-353.9417928598326,5.6,,,,,,,
,M3a,+ Self-lag exempt,2.1271827859718213e-05,0.0034460204657368026,0.9815508481873763,0.3493078551559593,-41.15464732387193,0.0,-369.4961018061874,11.4,,,,,,,
,M4,Network VARX,2.1155036741223602e-05,0.003435558312801369,0.9893459915611814,0.3543682446789084,-41.27117858555757,0.0,-371.5830678790695,10.4,,,,,,,
,,,,,,,,,,,,,,,,,
Panel B: Marginal Contributions,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,-95.13212186566052,,M2вҶ’M3,+ Exogenous variables (еӨ–з”ҹеҸҳйҮҸ),2.2897753715766565e-05,2.25435146816885e-05,-3.542390340780641e-07,1.5470470967383492,-20.77440678893465
,,,,,,,,0.0,-107.4508134022886,,M3вҶ’M3a,+ Self-lag exemption (иҮӘзҺҜиұҒе…Қ),2.25435146816885e-05,2.1271827859718213e-05,-1.2716868219702877e-06,5.641031755368852,-22.094862148972584
,,,,,,,,0.0,-32.18099085079969,,M3aвҶ’M4,+ Network penalty (зҪ‘з»ңжғ©зҪҡ),2.1271827859718213e-05,2.1155036741223602e-05,-1.1679111849461097e-07,0.5490412919134919,-11.948737779346894
